key,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire
4-94,186968,217890,0,124545,0,0,0,0,101212,0,111818,92708,0,88499,185304,0,367241,0,145555,91500,,204167,178332,0,213069,167179,0,129293,126500,0,131908,178853,270289,109062,173301,316270,245572,262270,238124,0,86249,139354,188888,109845,,0,97812,0,200640,0,0,199477,241086,0
5-94,185500,205494,0,128125,0,0,0,0,99867,0,111764,85972,0,97856,175208,0,344029,0,131999,89166,,195000,197142,0,209323,160556,0,130624,128750,0,131709,179866,265086,102500,177536,308333,216772,253050,236931,0,68333,146666,186666,110667,,0,90714,0,204815,0,0,193374,236686,0
6-94,189680,216705,0,117499,0,0,0,0,109180,0,112608,92750,0,107500,189800,0,349074,0,137142,110799,,198333,192857,0,210071,177777,0,132175,122000,0,131600,176838,272260,111071,169736,318085,256697,268060,231818,0,66999,156922,197872,105399,,0,98666,0,216071,0,0,201008,250809,0
7-94,188081,205912,0,117894,0,0,0,0,95199,0,106896,87187,0,98333,197166,0,363114,0,144286,95499,,223749,225000,0,207867,171818,0,134878,129000,0,130625,178470,259804,107916,173023,323333,249799,248820,236538,0,93333,163043,198038,110800,,0,87272,0,203817,0,0,200413,242173,0
8-94,185790,203947,0,114799,0,0,0,0,96896,0,116551,88124,0,110000,193129,0,351492,0,116999,93571,,230682,187272,0,210148,171922,0,130694,124000,0,131896,172916,258189,106249,176838,324272,255153,257050,219499,0,90000,0,193000,113333,,0,101333,0,212709,0,0,195997,238058,0
9-94,185158,211482,0,115499,0,0,0,0,96841,0,113499,86499,0,92500,199793,0,341509,0,120000,92500,,202500,182222,0,209062,170666,0,134489,118000,0,131985,174615,257954,108124,178343,325000,202161,257520,232547,0,95000,148461,197391,112558,,0,91500,0,208173,0,0,186491,242498,0
10-94,181862,207390,0,122000,0,0,0,0,105849,0,108333,85000,0,82500,189198,0,335294,0,145000,95999,,210227,178332,0,206926,155714,0,130106,121000,0,129642,170263,247856,95416,157890,317778,221588,248580,230085,0,92500,143846,196666,110556,,0,98333,0,213617,0,0,192449,235310,0
11-94,180907,203550,0,111249,0,0,0,0,100000,0,111578,82692,0,106666,188980,0,352777,0,117499,100000,,190000,176666,0,207002,155624,0,131497,122000,0,129680,169930,252419,104500,165551,333051,241203,245330,229032,0,80000,151333,198444,105428,,0,93333,0,204234,0,0,199013,237355,0
12-94,177421,208654,0,121818,0,0,0,0,99463,0,109285,85576,0,100000,195359,0,351041,0,131999,97856,,238750,184000,0,215705,162727,0,129609,122000,0,127655,171311,261734,107083,164904,322727,169939,249540,239953,0,75000,157058,193958,106744,,0,90000,0,200647,0,0,187202,235090,0
1-95,177200,194528,0,110000,0,0,0,0,95624,0,118461,95000,0,76666,186714,0,340384,0,123333,90000,,214583,173999,0,194868,168235,0,131987,119750,0,127287,170571,261666,115000,167228,295212,249085,238994,225962,0,68333,154999,204268,106666,,0,98999,0,196666,0,0,183853,229680,0
2-95,172974,199258,0,123333,0,0,0,0,91071,0,112941,90333,0,82000,169600,0,334091,0,144000,101667,,230000,184000,0,193072,157142,0,124780,120000,0,122112,173158,257692,107499,156266,299305,251785,255000,223683,0,67499,141818,190769,107856,,0,97499,0,192273,0,0,181443,233704,0
3-95,175274,198888,0,123333,0,0,0,0,98845,0,122353,83500,0,111999,163147,0,325641,0,114444,86999,,215908,176666,0,207615,163750,0,120319,120000,0,119210,172454,259375,96841,166540,326966,227045,246539,235000,0,87499,141538,198157,105714,,0,88333,0,193541,0,0,179944,233841,0
4-95,176768,204610,0,122000,0,0,0,0,100455,0,107333,83182,0,95000,165889,0,339473,0,140000,92500,,210714,186666,0,200782,151538,0,126465,116775,0,125321,167845,264796,109444,164415,310526,230359,248205,239655,0,90000,142727,197499,106515,,0,88499,0,199614,0,0,183516,235156,0
5-95,176448,209335,0,106428,0,0,0,0,95869,0,104615,83788,0,98333,156469,0,341176,0,130000,90000,,204412,190000,0,209993,165909,0,119391,115000,0,122566,167083,255102,101111,174975,317033,213331,248926,235606,0,92500,148823,195365,107316,,0,87856,0,193965,0,0,180956,238437,0
6-95,180649,214090,0,108571,0,0,0,0,103333,0,119473,92500,0,107777,172655,0,345967,0,128000,94285,,203947,188888,0,210229,173333,0,123741,119990,0,123474,174523,277403,101923,168185,315487,205561,268037,235625,0,85000,146666,196111,114838,,0,90000,0,205424,0,0,186685,249347,0
7-95,180253,212316,0,116922,0,0,0,0,102727,0,112142,88199,0,90000,180077,0,356122,0,151999,96874,,210000,196666,0,207634,169655,0,125336,121000,0,126603,175438,268055,108333,159512,338709,216707,256457,243548,0,95000,136874,194687,112954,,0,96153,0,202521,0,0,182658,246981,0
8-95,182467,211904,0,113529,0,0,0,0,103962,0,114399,92173,0,101429,178717,0,368548,0,142857,103571,,217592,177499,0,205658,167500,0,124717,122000,0,122569,174342,269186,105357,178820,329213,237064,265624,253205,0,93333,142500,196599,109285,,0,87187,0,203214,0,0,180109,250108,0
9-95,180529,210893,0,118888,0,0,0,0,94375,0,118260,88213,0,103333,186901,0,350000,0,118749,96874,,222115,200000,0,207355,163333,0,122114,120000,0,118898,172237,267222,100556,177127,330107,230432,261363,233721,0,110000,143000,197999,106738,,0,96666,0,195423,0,0,172604,242043,0
10-95,175861,207414,0,118076,0,0,0,0,97856,0,114999,87031,0,108333,162525,0,333673,0,130909,96922,,200000,177856,0,202791,155199,0,122879,120000,0,122836,169230,245634,107499,155261,320536,227919,254167,229348,0,93333,143333,196922,110833,,0,100000,0,200000,0,0,169335,239132,0
11-95,176203,206743,0,114615,0,0,0,0,96249,0,126842,91364,0,100000,159524,0,325000,0,121111,84285,,198999,174999,0,204003,160000,0,125909,119000,0,120603,175818,267262,106499,164823,314674,181842,261718,228571,0,92500,138181,184883,110566,,0,95769,0,210970,0,0,173620,242628,0
12-95,175372,204362,0,122222,0,0,0,0,94091,0,107500,85869,0,104000,178186,0,353658,0,147500,91428,,197499,198332,0,207967,161053,0,120613,115000,0,115688,167214,256522,97142,164037,301075,204425,253080,228773,0,65000,136666,193750,113770,,0,0,0,195892,0,0,173505,230719,0
1-96,174859,201739,0,114210,0,0,0,0,92954,0,104000,86388,0,95000,175746,0,333333,0,123333,89090,,212500,185000,0,198007,156190,0,123441,111950,0,116395,174750,270833,100833,177086,322656,245764,254942,244999,0,68749,143750,189564,123333,,0,0,0,208908,0,0,171100,234300,0
2-96,170860,205250,0,114210,0,0,0,0,93823,0,112499,86458,0,83000,163158,0,340322,0,123333,100000,,223749,170000,0,202138,165555,0,114367,111000,0,118823,174215,263281,100714,150505,300000,231069,248676,243152,0,123333,141500,201219,112161,,0,0,0,200240,0,0,171888,236323,0
3-96,175975,208046,0,118234,0,0,0,0,96071,0,110999,93823,0,110000,161760,0,361538,0,118999,85384,,212500,180000,0,200987,157916,0,114996,117000,0,116808,172676,266279,95909,164792,323762,211290,268156,241304,0,90000,137499,198386,115370,,0,0,0,201380,0,0,169825,243036,0
4-96,178536,210130,0,111363,0,0,0,0,96944,0,105333,90455,0,90000,162025,0,368749,0,133999,88499,,218749,171538,0,210447,167500,0,117551,117000,0,119632,170061,284848,94500,167885,329060,205813,266319,222760,0,105000,137618,184528,113871,,0,0,0,208639,0,0,173485,242764,0
5-96,179095,213709,0,115861,0,0,0,0,92258,0,109473,91250,0,102857,154313,0,376414,0,145000,97499,,225000,175293,0,216546,163043,0,118500,118000,0,115144,172048,281122,97727,169064,333620,238717,275814,238793,0,91667,134193,190000,120000,,0,0,0,217974,0,0,171022,253801,0
6-96,181191,213414,0,118749,0,0,0,0,96481,0,111666,91000,0,102857,172152,0,390322,0,135454,92000,,231250,173333,0,216249,168400,0,124034,115000,0,120504,178597,275000,93750,179877,339097,242167,279942,243867,0,103333,137618,188333,113417,,0,0,0,206198,0,0,180232,255589,0
