County,90!1,90!2,90!3,90!4,91!1,91!2,91!3,91!4,92!1,92!2,92!3,92!4,93!1,93!2,93!3,93!4,94!1,94!2,94!3,94!4,95!1,95!2,95!3,95!4,96!1,96!2,96!3,96!4,97!1,97!2,97!3,97!4,98!1,98!2,98!3,98!4,99!1,99!2,99!3,99!4,00!1,00!2,00!3,00!4,01!1,01!2,01!3,01!4,02!1,02!2,02!3,02!4,03!1,03!2,03!3,03!4,04!1,04!2,04!3,04!4,05!1,05!2,05!3,05!4,06!1,06!2,06!3,06!4,07!1,07!2,07!3,07!4,08!1,08!2,08!3,08!4,09!1,09!2,09!3,09!4,10!1,10!2,10!3,10!4,11!1,11!2,11!3,11!4,12!1,12!2,12!3,12!4,13!1,13!2,13!3,13!4,14!1,14!2,14!3,14!4,15!1,15!2,15!3,15!4,16!1,16!2,16!3
Monterey,217248,229434,199062,200606,208482,215603,208505,203541,199722,200268,194388,189149,204752,198645,205918,193039,218673,199166,218977,212992,220163,206357,216569,198832,216249,224999,222936,231199,235962,248047,253317,250048,246218,251467,255707,253770,266833,269083,310500,311666,346250,348333,327666,362833,348650,344166,368333,348333,377000,375350,386500,374166,391800,419000,458333,457333,485000,564166,564916,588641,622500,646666,687851,681666,694666,683000,667666,658333,659500,724666,711650,598166,478333,372600,302000,271666,219000,206833,231666,245000,248833,272000,263316,251333,246250,263333,260666,270333,286633,288000,309416,328200,338133,402333,412766,423500,483250,460500,462833,450000,476666,490000,476500,506166,495993,535633,540416
Sonoma,177713,185098,182637,178727,181595,184946,194451,193032,196006,203761,197258,198824,192067,200170,197913,193601,189789,191142,196143,196356,197731,196325,196428,191851,196389,187620,187322,180490,186887,197870,197603,191817,202550,216248,223700,222721,230761,251304,258517,261078,278238,316623,330330,339004,358798,357042,358145,353844,362453,381412,389560,381840,393830,424529,437245,445674,461753,497515,518668,543016,584890,632221,644535,628660,619471,641030,620972,605364,588228,618078,591624,502775,469435,431524,380733,346235,323096,336879,360114,375030,360525,366612,372973,348436,326446,337943,342786,323050,323093,348613,368993,383916,383590,442873,461093,465970,461666,481666,490333,493333,487750,540000,544666,535250,550000,585666,582500
San Joaquin,108397,112712,112247,117074,110181,120139,121499,116413,115594,120236,113475,113749,111983,115422,110703,114099,110074,107544,107429,102333,106446,104159,104748,103713,99152,95325,105937,95000,97129,96325,98186,98525,122372,122044,133112,128011,131301,133602,135727,140386,144655,155350,164509,175188,187354,193698,192738,198666,204295,222815,231694,232280,232077,245659,258461,262258,268487,288038,318926,336591,353369,380704,409808,411879,398879,416721,402870,397388,380781,371841,241344,0,0,0,0,0,153538,151591,161915,170370,166404,172203,171043,166305,161679,163532,162366,156900,159840,163880,172023,180516,182796,203426,232920,238683,238303,255600,263453,259806,268870,285633,292166,285883,294723,314023,318500
Humboldt,84033,85702,98712,89976,94346,104595,102638,103571,101481,109920,110277,110757,109814,115050,109374,115163,111449,112063,112315,109732,117918,110473,114933,116447,109166,108824,110884,108644,109610,120188,120370,121340,112019,115103,118206,125677,123013,116943,127666,125753,121407,124543,134305,136417,136973,139529,146376,147378,150836,163902,176123,182153,184897,201246,218612,218712,221070,248815,268926,272899,287361,319501,323725,338278,343450,327497,315829,323099,323944,319687,327782,306187,301918,306229,295991,276735,271978,273700,266733,253936,250008,256765,250000,253533,244560,239583,235620,226673,225426,240410,224016,232660,230463,245403,255120,251326,240006,247256,249436,261946,255670,259843,270966,270793,266603,281160,295966
Fresno,84386,87392,93008,93541,95295,96154,99204,98380,96192,101087,101386,98405,96207,96723,100933,100875,110085,103419,96312,101770,95180,99885,100354,96065,94282,95227,95349,93414,95283,92699,102137,102175,97163,98495,100081,100334,95278,105181,99808,99292,97606,103516,105962,109792,105455,117372,126445,127982,131581,136887,149073,155127,161002,172902,180746,189797,199351,224809,247318,248003,262996,287794,301560,299836,294729,303027,293790,284757,285672,286464,276445,257009,238917,220224,189663,164093,141090,138754,148946,151580,149889,155642,151646,146920,138500,134180,139210,139436,134056,143893,153100,152570,156970,172483,184566,188663,189496,197833,204500,201676,211916,218923,221666,220320,218253,234320,238233
Merced,82432,92095,103490,101287,102360,104305,106276,99721,107796,101674,103680,99376,95203,98789,95100,100407,89468,97155,93856,97951,92888,92261,99106,90878,91491,92666,96002,90356,92059,88588,96279,87354,94134,100567,97209,99513,94761,103282,104309,109241,103101,101055,112636,118976,125964,130190,134533,135351,142724,151644,160762,171952,180295,190190,194099,202590,195595,218974,239764,262513,274162,301848,332031,330604,327729,327061,300864,299721,277063,278378,258963,235808,208314,169618,139485,121278,104571,102264,110649,111336,101899,119566,116906,111296,111060,109983,119916,114846,115523,115713,131743,133973,135430,148243,165843,161120,161666,164933,173270,182196,175833,204830,196983,206726,193093,214173,216333
Yolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224768,252649,266646,245802,253058,266518,239557,235077,225653,238091,234680,212413,202030,238203,253010,250403,253646,300993,332530,300893,316316,356766,360440,344170,338360,387653,392833,380590,374116,402680,402160
Mariposa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169444,182499,202499,201706,243749,260416,278333,293749,311388,320000,338928,302083,350555,350000,393055,383333,350000,347499,391666,344444,420833,319444,308333,301389,267361,215555,207916,217500,225000,241666,308333,187083,194999,204444,182222,190000,167638,177222,215555,173888,176666,209166,247916,247499,231943,238890,255556,240000,264583,259026,263550,255553,262500,263000,304666
Yuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277083,281646,250061,254230,258664,239404,226150,211685,188717,170156,158974,149307,143910,143178,148749,146190,149916,146916,128333,133968,137205,130179,122586,122904,130581,131207,149064,151666,179381,175290,201022,203293,197306,203841,202693,206093,217476,227166,216766,220333,233356,249800
El Dorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343137,335971,315872,313731,314844,321727,303981,288171,268959,278526,260526,254886,256613,262506,276126,283676,306880,341553,347170,363276,350920,371380,380493,371856,384426,417333,400916,393516,421596,441946,423000
San Luis Obispo,226636,203864,217727,180516,200218,206436,198038,184418,205397,184261,183084,182996,189627,173840,183204,175303,183096,173524,176068,162781,163344,169191,171819,161373,164127,172275,174147,161592,175843,175510,194387,188905,181041,179117,192415,189510,196421,217413,218949,224060,239287,248992,267240,271034,287306,284301,295225,303740,318068,334578,356621,356931,368073,390871,395735,412749,426148,445540,475233,492827,521091,561461,589867,585340,601463,596891,586842,556772,581504,602850,577311,527178,508711,480288,433068,388310,373872,361745,404869,401716,377175,411596,377889,369346,344633,378793,359233,361793,366043,376880,411366,400453,408380,446303,488186,470456,475946,485353,482060,465913,492610,518339,514833,541963,537696,545528,552916
Los Angeles Metropolitan Area,207900,210125,200634,203036,202968,221889,217008,210201,212136,218709,209457,209815,205828,208204,202469,196711,193573,197953,194300,192888,181746,183719,178457,172153,170937,174913,171920,167338,166030,177018,176575,175930,176553,187611,189519,181894,185384,199172,197561,192100,202716,216706,220063,216908,222188,235976,246279,241970,262535,281934,287044,292226,307483,336673,355962,353423,379273,432276,430125,432782,461703,493000,512047,500292,522307,530993,533452,534815,543692,576470,549986,466005,406540,371245,323180,277231,236373,236758,257935,275349,270234,293825,293650,280940,269456,276736,276013,267306,265566,292360,314243,326986,333196,381446,394396,397603,390806,417976,423050,414203,411000,441350,446660,442583,435470,469400,468576
Tehama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225277,191111,193023,158908,161333,134999,139444,161555,157166,145119,138056,125833,134446,116110,105000,128670,116500,101000,141333,103890,124126,125556,165333,160556,153333,191833,203500,163890,180000,159206,184500,183666,177000,186110,198570,201666
Calaveras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187578,186277,204499,191079,196587,203800,231279,235441,234731,248227,264513,286967,290475,302013,341666,354025,356596,395293,411677,455640,426386,402036,389109,379025,400370,384642,351280,360661,332936,313131,269398,243263,214416,213564,224642,219741,181444,192610,192338,185666,162222,167658,158393,163333,160178,152249,170971,169120,194411,200980,218792,207543,221169,245267,238039,240556,238816,270593,260333,253096,264350,295310,295333
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229430,257033,261019,251066,263624,280046,294095,320522,305555,311611,320833,316268,319421,368471,382407,378236,408500,456349,457447,477347,468791,465532,439713,449295,433170,456281,420454,422435,390984,381082,353081,317790,296296,306944,297966,272777,262605,270130,278006,255805,225341,229278,219122,225316,217000,226302,232388,243372,251364,269319,304423,300413,300122,303096,316196,313060,329883,339560,328633,346106,336526,345046,350233
Santa Barbara,262013,238031,219782,221903,227034,251492,216825,234892,236800,240696,237909,221833,233216,222240,224642,211650,243220,239680,235704,210910,242638,216417,228067,204728,229374,228899,227186,216196,236486,247776,275298,265312,258098,231135,278843,234751,274675,276469,279437,328452,372432,323463,282256,322828,365866,343739,387214,321786,404730,431476,406451,403416,449608,492114,506847,407443,510734,639815,618596,646529,671527,693672,708514,692225,758134,787996,726404,694893,812326,815165,801610,674233,543678,478666,443863,335446,308585,373720,414422,430708,409751,485879,483393,433923,392953,419173,397856,367163,376726,476786,493106,544440,563923,659226,621660,624630,655363,676306,756580,622763,681483,745383,721833,608656,679633,713606,697100
